A,B,C,D,E,F,G,H,K,P,Q,S,T
ἀπιστίας,#LACUNA#,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας
καὶ,#LACUNA#,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
ἀθεΐας,#LACUNA#,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας
ἡ,#LACUNA#,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ
ἁμαρτία.,#LACUNA#,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.
,#LACUNA#,Ἰσιδώρου,Ἰσιδώρου,Ἰσιδώρου,,,Ἰσιδώρου,#LACUNA#,Ἰσιδώρου,νείλου,Ἰσιδώρου,
,#LACUNA#,Πηλουσίου,πηλουσιώτ(ου),Πηλουσίου,,,Πηλουσίου,#LACUNA#,πηλουσιώτ(ου),τοῦ,πηλουσιώτ(ου),
Γρηγορίου,#LACUNA#,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,#LACUNA#,Γρηγορίου,,Γρηγορίου,Γρηγορίου
Νύσης,#LACUNA#,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,#LACUNA#,Νύσης,νύσσης,Νύσης,Νύσης
Ἤκουσά,#LACUNA#,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,#LACUNA#,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά
που,#LACUNA#,που,που,που,που,που,που,#LACUNA#,που,που,που,που
τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς
ἁγίας,#LACUNA#,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,#LACUNA#,ἁγίας,ἁγίας,ἁγίας,ἁγίας
γραφῆς,#LACUNA#,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,#LACUNA#,γραφῆς,γραφῆς,γραφῆς,γραφῆς
κατακρινούσης,#LACUNA#,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,#LACUNA#,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης
"ἐκείνους,",#LACUNA#,"ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,",#LACUNA#,"ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,"
οἳ,#LACUNA#,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,#LACUNA#,οἳ,οἳ,οἳ,οἳ
κατὰ,#LACUNA#,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,#LACUNA#,κατὰ,κατὰ,κατὰ,κατὰ
τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,#LACUNA#,τῆς,,τῆς,τῆς
τοῦ,#LACUNA#,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,#LACUNA#,τοῦ,τοῦ,τοῦ,τοῦ
θεοῦ,#LACUNA#,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,#LACUNA#,θεοῦ,θεοῦ,θεοῦ,θεοῦ
βλασφημίας,#LACUNA#,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,#LACUNA#,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας
αἴτιοι,#LACUNA#,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,#LACUNA#,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι
γίνονται.,#LACUNA#,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,#LACUNA#,γίνονται.,γίνονται.,γίνονται.,γίνονται.
Οὐαὶ,#LACUNA#,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,#LACUNA#,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ
γὰρ,#LACUNA#,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,#LACUNA#,γὰρ,γὰρ,γὰρ,γὰρ
φησὶν,#LACUNA#,φησὶν,φησὶν,φησὶν,,φησὶν,,#LACUNA#,φησὶν,φησὶν,φησὶν,φησὶν
δι᾽,#LACUNA#,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,#LACUNA#,δι᾽,δι᾽,δι᾽,δι᾽
οὓς,#LACUNA#,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,#LACUNA#,οὓς,οὓς,οὓς,οὓς
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,#LACUNA#,τὸ,τὸ,τὸ,τὸ
ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,#LACUNA#,ὄνομά,ὄνομά,ὄνομά,ὄνομά
μου,μου,μου,μου,μου,μου,μου,μου,#LACUNA#,μου,μου,μου,μου
βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,#LACUNA#,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,#LACUNA#,τοῖς,τοῖς,τοῖς,τοῖς
ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,#LACUNA#,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.,ἔθνεσι.
Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,Διὰ,#LACUNA#,Διὰ,Διὰ,Διὰ,Διὰ
τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,τοῦτο,#LACUNA#,τοῦτο,τοῦτο,τοῦτο,τοῦτο
,,,,,,,,#LACUNA#,,γὰρ,,
χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν,#LACUNA#,χαλεπὴν,χαλεπὴν,χαλεπὴν,χαλεπὴν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,#LACUNA#,τοῖς,τοῖς,τοῖς,τοῖς
τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις,#LACUNA#,τοιούτοις,τοιούτοις,τοιούτοις,τοιούτοις
ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,#LACUNA#,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν,ἀπειλὴν
ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,#LACUNA#,ὁ,ὁ,ὁ,ὁ
λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,λόγος,#LACUNA#,λόγος,λόγος,λόγος,λόγος
ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,#LACUNA#,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται,ἐπανατείνεται
λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,λέγων,#LACUNA#,λέγων,λέγων,λέγων,λέγων
ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις,#LACUNA#,ἐκείνοις,ἐκείνοις,ἐκείνοις,ἐκείνοις
εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,εἶναι,#LACUNA#,εἶναι,εἶναι,εἶναι,εἶναι
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,#LACUNA#,τὸ,τὸ,τὸ,τὸ
Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,#LACUNA#,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ
δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,#LACUNA#,δι᾽,δι᾽,δι᾽,δι᾽
οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,#LACUNA#,οὓς,οὓς,οὓς,οὓς
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,#LACUNA#,τὸ,τὸ,τὸ,τὸ
ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,ὄνομά,#LACUNA#,ὄνομά,ὄνομά,ὄνομά,ὄνομά
μου,μου,μου,μου,μου,μου,μου,μου,#LACUNA#,μου,μου,μου,μου
βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,#LACUNA#,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται,βλασφημεῖται
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν
τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,τοῖς,#LACUNA#,τοῖς,τοῖς,τοῖς,τοῖς
ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,#LACUNA#,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.,ἔθνεσιν.
Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,Νείλου,,Νείλου,Νείλου,Νείλου
μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,μοναχοῦ,ἡ,,,μοναχοῦ,μοναχοῦ,μοναχοῦ
,,,,,ἀπὸ,,,,,,,
,,,,,τῶν,,,,,,,
,,,,,τῆς,,,,,,,
,,,,,κακίας,,,,,,,
,,,,,ὀκτῶ,,,,,,,
,,,,,λογισμῶν,,,,,,,
Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις,Ὄψις
γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς,γυναικὸς
,πεφαρμακευμένον,,,,,,,,πεφαρμακευμένον,,πεφαρμακευμένον,
